epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,300.017,0.91534,0.99073,1.21188,0.89247,0.83011,0.9105,0.54557,1.15425,1.20481,1.29897,0.0009605,0.0009605,0.0009605
44,306.949,0.9493,0.97093,1.21641,0.72596,0.66246,0.7729,0.4457,1.26258,1.50986,1.39643,0.00093575,0.00093575,0.00093575
45,313.733,1.01984,1.00169,1.26058,0.72596,0.66246,0.7729,0.4457,1.26258,1.50986,1.39643,0.000911,0.000911,0.000911
46,320.757,1.01147,1.08187,1.30787,0.78142,0.825,0.80996,0.56868,1.0398,1.43758,1.24578,0.00088625,0.00088625,0.00088625
47,327.652,0.91402,0.88442,1.18012,0.86968,0.9,0.91973,0.66899,1.01748,1.3348,1.17894,0.0008615,0.0008615,0.0008615
48,334.51,0.92512,0.94333,1.20445,0.96194,0.9,0.97703,0.72044,0.91899,1.35703,1.12348,0.00083675,0.00083675,0.00083675
49,341.323,0.85696,0.97026,1.24268,0.96194,0.9,0.97703,0.72044,0.91899,1.35703,1.12348,0.000812,0.000812,0.000812
50,348.174,0.89466,0.91965,1.19451,0.90746,0.98076,0.98943,0.77372,0.85527,1.33988,1.07931,0.00078725,0.00078725,0.00078725
51,355.034,0.84015,0.93081,1.15411,0.9807,1,0.995,0.81769,0.85563,1.20648,1.04923,0.0007625,0.0007625,0.0007625
52,361.885,0.8584,0.87452,1.1538,0.96833,1,0.995,0.8324,0.85533,1.17001,1.01441,0.00073775,0.00073775,0.00073775
53,369.064,0.8719,0.84489,1.19052,0.96833,1,0.995,0.8324,0.85533,1.17001,1.01441,0.000713,0.000713,0.000713
54,376.285,0.84117,0.94347,1.16447,0.96939,1,0.995,0.83592,0.84299,1.10675,0.9726,0.00068825,0.00068825,0.00068825
55,383.236,0.81754,0.96466,1.17174,0.97683,1,0.995,0.82089,0.81621,1.01176,0.96763,0.0006635,0.0006635,0.0006635
56,390.058,0.85838,0.87603,1.21028,0.99151,1,0.995,0.77734,0.87275,0.95918,1.01066,0.00063875,0.00063875,0.00063875
57,396.9,0.78237,0.79902,1.12615,0.99151,1,0.995,0.77734,0.87275,0.95918,1.01066,0.000614,0.000614,0.000614
58,403.856,0.82021,0.85092,1.18491,0.99484,1,0.995,0.76748,0.87872,0.9233,1.03287,0.00058925,0.00058925,0.00058925
59,410.688,0.82022,0.89507,1.18881,0.99279,1,0.995,0.79565,0.80374,0.8891,0.9803,0.0005645,0.0005645,0.0005645
60,417.535,0.78104,0.87828,1.18603,0.98803,1,0.995,0.81573,0.77341,0.936,0.96346,0.00053975,0.00053975,0.00053975
61,424.18,0.75504,0.77716,1.12863,0.98803,1,0.995,0.81573,0.77341,0.936,0.96346,0.000515,0.000515,0.000515
62,431.023,0.73718,0.82828,1.12413,0.98829,1,0.995,0.81347,0.73322,1.01183,0.89994,0.00049025,0.00049025,0.00049025
63,437.83,0.725,0.78134,1.11597,0.98797,1,0.995,0.84182,0.63807,1.00821,0.8089,0.0004655,0.0004655,0.0004655
64,445.029,0.79302,0.82091,1.1595,0.98773,1,0.995,0.8833,0.58557,0.98002,0.77137,0.00044075,0.00044075,0.00044075
65,452.213,0.81381,0.87449,1.17816,0.98773,1,0.995,0.8833,0.58557,0.98002,0.77137,0.000416,0.000416,0.000416
66,470.869,0.80649,0.80746,1.12562,0.98565,1,0.995,0.90132,0.52277,0.82349,0.73881,0.00039125,0.00039125,0.00039125
