epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.569,2.40708,2.80065,2.44299,0.00317,0.95,0.01535,0.00229,3.33703,3.51275,3.30306,4e-05,4e-05,4e-05
2,25.7336,2.31078,2.73009,2.3831,0.00333,1,0.02995,0.00824,2.5969,3.30665,2.73609,9.87625e-05,9.87625e-05,9.87625e-05
3,32.3937,2.00415,2.5988,2.1195,0.00333,1,0.04105,0.01063,2.3946,3.29862,2.42522,0.00015604,0.00015604,0.00015604
4,39.1242,1.87655,2.51855,1.9604,0.00333,1,0.04042,0.01009,2.81603,3.34569,2.45024,0.000211833,0.000211833,0.000211833
5,45.9204,1.7975,2.38052,1.83676,0.00333,1,0.04933,0.0126,2.74734,3.22399,2.36808,0.00026614,0.00026614,0.00026614
6,52.7462,1.71428,2.387,1.88164,0.00333,1,0.09078,0.02929,1.97773,3.01557,1.89387,0.000318963,0.000318963,0.000318963
7,59.5263,1.6413,2.21558,1.85258,0.00333,1,0.2017,0.08525,1.31001,2.78644,1.52519,0.0003703,0.0003703,0.0003703
8,66.3416,1.56895,2.14772,1.77593,0.00333,1,0.33377,0.13938,1.33838,2.76199,1.51842,0.000420152,0.000420152,0.000420152
9,73.7362,1.39403,2.01454,1.6895,0.00333,1,0.66102,0.29162,1.42933,2.65876,1.72649,0.00046852,0.00046852,0.00046852
10,80.6879,1.38631,1.86336,1.62799,0.00333,1,0.5332,0.2462,1.50003,2.63377,1.79975,0.000515403,0.000515403,0.000515403
11,87.5576,1.54212,2.06217,1.67713,0.02654,1,0.55381,0.27023,1.3728,2.581,1.53016,0.0005608,0.0005608,0.0005608
12,94.3873,1.39713,1.71915,1.61556,0.00333,1,0.56808,0.33269,1.2756,2.45638,1.47423,0.000604713,0.000604713,0.000604713
13,101.183,1.29397,1.78083,1.52413,0.78122,0.925,0.86183,0.52604,1.14532,1.91551,1.31294,0.00064714,0.00064714,0.00064714
