timestamps,code,MA4,MA8,MA12,MA16,MA20,MA47,stage
2020-04-27,002106.SZ,10.252500000000001,10.0375,9.7475,9.57625,9.425,9.622340425531915,0
2020-04-28,002106.SZ,10.2975,10.135,9.89,9.676874999999999,9.5115,9.628297872340426,0
2020-04-29,002106.SZ,10.350000000000001,10.223749999999999,10.033333333333333,9.76,9.597,9.628297872340426,0
2020-04-30,002106.SZ,10.4975,10.350000000000001,10.131666666666668,9.865625,9.6995,9.621702127659574,0
2020-05-06,002106.SZ,10.675,10.46375,10.25,9.979375000000001,9.796000000000001,9.61936170212766,2
2020-05-07,002106.SZ,10.732499999999998,10.515,10.334166666666667,10.100625,9.888000000000002,9.629574468085107,2
2020-05-08,002106.SZ,10.7925,10.57125,10.413333333333332,10.223125,9.9665,9.636382978723406,2
2020-05-11,002106.SZ,10.760000000000002,10.62875,10.486666666666666,10.28875,10.0445,9.657021276595744,4
2020-05-12,002106.SZ,10.697499999999998,10.686250000000001,10.541666666666666,10.361875000000001,10.123000000000001,9.666595744680851,4
2020-05-13,002106.SZ,10.6375,10.685,10.555833333333334,10.41,10.208,9.675106382978724,4
2020-05-14,002106.SZ,10.6025,10.6975,10.581666666666665,10.460625,10.299000000000001,9.683617021276596,4
2020-05-15,002106.SZ,10.594999999999999,10.6775,10.6175,10.51375,10.35,9.690212765957448,4
2020-05-18,002106.SZ,10.4825,10.59,10.618333333333334,10.526875,10.386000000000001,9.684468085106383,4
2020-05-19,002106.SZ,10.44,10.53875,10.603333333333333,10.526875,10.416,9.696382978723404,4
2020-05-20,002106.SZ,10.3875,10.495000000000001,10.594166666666666,10.533125,10.446,9.7,4
2020-05-21,002106.SZ,10.31,10.4525,10.555,10.540625,10.473,9.709574468085107,0
2020-05-22,002106.SZ,10.3025,10.392499999999998,10.494166666666667,10.539375,10.482,9.722765957446807,0
2020-05-25,002106.SZ,10.3075,10.37375,10.461666666666668,10.529375,10.483,9.74404255319149,0
2020-05-26,002106.SZ,10.35,10.36875,10.446666666666667,10.533125,10.496500000000001,9.778510638297872,0
2020-05-27,002106.SZ,10.4875,10.39875,10.464166666666666,10.538124999999999,10.53,9.816595744680852,0
2020-05-28,002106.SZ,10.7175,10.51,10.500833333333333,10.55,10.575,9.860425531914894,0
2020-05-29,002106.SZ,10.93,10.61875,10.559166666666666,10.57875,10.6095,9.901063829787235,0
