timestamps,code,MA4,MA8,MA12,MA16,MA20,MA47,stage
2020-08-18,002362.SZ,18.355,18.18,18.299166666666668,18.18,18.194,18.225319148936173,0
2020-08-19,002362.SZ,18.5575,18.217499999999998,18.294999999999998,18.239375,18.1715,18.26063829787234,0
2020-08-20,002362.SZ,18.685,18.2825,18.331666666666667,18.2875,18.1755,18.303404255319148,0
2020-08-21,002362.SZ,18.6375,18.3675,18.342499999999998,18.343125,18.212,18.34148936170213,0
2020-08-24,002362.SZ,18.805,18.580000000000002,18.388333333333332,18.425625,18.305,18.380851063829788,0
2020-08-25,002362.SZ,18.947499999999998,18.752499999999998,18.46083333333333,18.458125,18.381,18.417234042553194,0
2020-08-26,002362.SZ,18.975,18.830000000000002,18.513333333333332,18.4925,18.425,18.448936170212768,0
2020-08-27,002362.SZ,19.085,18.86125,18.606666666666666,18.528125,18.491500000000002,18.48276595744681,0
2020-08-28,002362.SZ,19.085,18.945,18.748333333333335,18.5625,18.557499999999997,18.516808510638295,2
2020-08-31,002362.SZ,19.6275,19.2875,19.044166666666666,18.7525,18.692,18.597021276595743,2
2020-09-01,002362.SZ,20.77,19.8725,19.476666666666667,19.0775,18.948,18.724255319148938,2
2020-09-02,002362.SZ,21.96,20.5225,19.894166666666667,19.445,19.214499999999997,18.865106382978723,2
2020-09-03,002362.SZ,22.8525,20.96875,20.2475,19.774375,19.4205,18.97340425531915,2
2020-09-04,002362.SZ,23.1075,21.3675,20.560833333333335,20.060000000000002,19.6235,19.065106382978726,2
2020-09-07,002362.SZ,22.650000000000002,21.71,20.798333333333336,20.27,19.791999999999998,19.136595744680854,4
2020-09-08,002362.SZ,22.125,22.0425,21.05666666666667,20.451875,19.981,19.210425531914893,4
2020-09-09,002362.SZ,21.4725,22.162499999999998,21.136666666666667,20.55375,20.113999999999997,19.24063829787234,4
2020-09-10,002362.SZ,20.8,21.95375,21.17833333333333,20.620625,20.208000000000002,19.25340425531915,4
2020-09-11,002362.SZ,20.6525,21.65125,21.3575,20.761875,20.3465,19.287659574468087,4
2020-09-14,002362.SZ,20.655,21.39,21.580000000000002,20.95625,20.4925,19.319361702127658,4
2020-09-15,002362.SZ,21.5425,21.5075,21.95583333333333,21.238125,20.7515,19.404893617021276,4
2020-09-16,002362.SZ,22.575,21.6875,22.160833333333333,21.5275,21.0115,19.480425531914893,4
2020-09-17,002362.SZ,22.805,21.728749999999998,22.035833333333333,21.719375000000003,21.1705,19.52787234042553,4
2020-09-18,002362.SZ,22.9025,21.778750000000002,21.894166666666667,21.910625,21.3455,19.589787234042554,4
2020-09-21,002362.SZ,22.33,21.93625,21.781666666666666,22.049375,21.4565,19.658297872340427,4
2020-09-22,002362.SZ,21.6625,22.11875,21.679166666666664,22.03625,21.554499999999997,19.72191489361702,4
2020-09-23,002362.SZ,21.5325,22.16875,21.66333333333333,21.91,21.682000000000002,19.78127659574468,4
2020-09-24,002362.SZ,21.31,22.10625,21.622500000000002,21.748125,21.7905,19.827659574468086,0
2020-09-25,002362.SZ,21.0425,21.686249999999998,21.638333333333335,21.596875,21.848000000000003,19.859574468085107,0
2020-09-28,002362.SZ,20.884999999999998,21.27375,21.7075,21.480625,21.806,19.897659574468083,0
2020-09-29,002362.SZ,20.9925,21.2625,21.776666666666667,21.495625,21.726499999999998,19.982340425531913,0
2020-09-30,002362.SZ,21.045,21.1775,21.752499999999998,21.478125,21.607499999999998,20.065531914893615,0
