timestamps,code,MA4,MA8,MA12,MA16,MA20,MA47,stage
2020-06-29,002161.SZ,7.924999999999999,7.7475,7.6499999999999995,7.6206249999999995,7.584999999999999,7.878297872340425,0
2020-06-30,002161.SZ,7.987499999999999,7.79625,7.701666666666667,7.646875,7.6245,7.856170212765957,0
2020-07-01,002161.SZ,7.9399999999999995,7.83125,7.735,7.6675,7.644499999999999,7.828723404255319,0
2020-07-02,002161.SZ,7.942500000000001,7.87375,7.783333333333334,7.690625,7.658499999999999,7.804893617021277,0
2020-07-03,002161.SZ,7.950000000000001,7.9375,7.815,7.725,7.6865000000000006,7.782978723404256,0
2020-07-06,002161.SZ,8.072500000000002,8.03,7.888333333333333,7.7943750000000005,7.731999999999999,7.774893617021277,0
2020-07-07,002161.SZ,8.25,8.095,7.970833333333334,7.8637500000000005,7.783999999999999,7.7763829787234044,2
2020-07-08,002161.SZ,8.4575,8.2,8.068333333333333,7.951875,7.843999999999999,7.787021276595745,2
2020-07-09,002161.SZ,8.7075,8.32875,8.194166666666668,8.038124999999999,7.9215,7.812340425531915,2
2020-07-10,002161.SZ,8.785,8.42875,8.281666666666668,8.112499999999999,7.9925,7.833617021276596,2
2020-07-13,002161.SZ,8.905,8.5775,8.365,8.204375,8.072,7.853191489361701,2
2020-07-14,002161.SZ,8.9125,8.685,8.4375,8.279375,8.144,7.864255319148935,2
2020-07-15,002161.SZ,8.7075,8.7075,8.455,8.3225,8.172,7.867021276595745,4
2020-07-16,002161.SZ,8.459999999999999,8.6225,8.439166666666667,8.32625,8.182,7.857021276595744,4
2020-07-17,002161.SZ,8.17,8.5375,8.441666666666666,8.31625,8.1975,7.850638297872341,4
2020-07-20,002161.SZ,8.01,8.46125,8.459999999999999,8.330625,8.2255,7.849787234042553,0
2020-07-21,002161.SZ,7.96,8.33375,8.458333333333334,8.33125,8.25,7.847872340425533,0
2020-07-22,002161.SZ,8.01,8.235000000000001,8.418333333333333,8.331875,8.263,7.8472340425531915,0
2020-07-23,002161.SZ,8.0,8.084999999999999,8.358333333333333,8.331249999999999,8.253,7.841702127659574,0
2020-07-24,002161.SZ,7.8375,7.92375,8.253333333333334,8.304375,8.232,7.83404255319149,0
2020-07-27,002161.SZ,7.68,7.82,8.115833333333333,8.26375,8.201,7.824893617021276,0
