code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47
300866,2020-11-23,187.28,178.93,188.6,177.25,187.19,16193.1,292542000.0,,,178.93,,,,0.0,0.0,0.0,安克创新,计算机、通信和其他电子设备制造业,创业板,178.93,178.93,178.93,178.93,178.93
300866,2020-11-24,178.03,180.79,181.27,176.59,178.93,9464.85,169436000.0,,,179.86,,,,0.15,0.03,0.12,安克创新,计算机、通信和其他电子设备制造业,创业板,179.86,179.86,179.86,179.86,179.86
300866,2020-11-25,180.0,175.97,182.46,173.86,180.79,9330.1,165598000.0,,,178.56333333333336,,,,-0.12,0.0,-0.12,安克创新,计算机、通信和其他电子设备制造业,创业板,178.56333333333336,178.56333333333336,178.56333333333336,178.56333333333336,178.56333333333336
300866,2020-11-26,175.01,174.05,178.09,171.3,175.97,9099.6,158828000.0,,,177.435,,,,-0.48,-0.1,-0.38,安克创新,计算机、通信和其他电子设备制造业,创业板,177.435,177.435,177.435,177.435,177.435
300866,2020-11-27,175.54,189.1,191.67,174.0,174.05,20596.1,378490000.0,179.77,,179.768,,,,0.44,0.01,0.43,安克创新,计算机、通信和其他电子设备制造业,创业板,179.97750000000002,179.768,179.768,179.768,179.768
300866,2020-11-30,187.12,177.77,188.0,174.5,189.1,17216.9,308922000.0,179.54,,179.43500000000003,,,,0.25,0.06,0.19,安克创新,计算机、通信和其他电子设备制造业,创业板,179.22250000000003,179.43500000000003,179.43500000000003,179.43500000000003,179.43500000000003
300866,2020-12-01,175.0,177.87,179.97,174.69,177.77,8303.25,147619000.0,178.95,,179.21142857142857,,,,0.11,0.07,0.04,安克创新,计算机、通信和其他电子设备制造业,创业板,179.69750000000002,179.21142857142857,179.21142857142857,179.21142857142857,179.21142857142857
300866,2020-12-02,177.79,182.49,183.52,175.68,177.87,8703.0,156953000.0,180.26,,179.62125,,,,0.36,0.13,0.23,安克创新,计算机、通信和其他电子设备制造业,创业板,181.8075,179.62125,179.62125,179.62125,179.62125
300866,2020-12-03,180.0,181.99,186.99,179.58,182.49,6765.06,124197000.0,181.84,,179.88444444444445,,,,0.52,0.21,0.31,安克创新,计算机、通信和其他电子设备制造业,创业板,180.03,180.00375,179.88444444444445,179.88444444444445,179.88444444444445
300866,2020-12-04,182.0,183.08,184.73,178.61,181.99,4695.0,85560200.0,180.64,180.2,180.204,,,,0.73,0.31,0.42,安克创新,计算机、通信和其他电子设备制造业,创业板,181.35750000000002,180.29,180.204,180.204,180.204
