code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47
603004,2024-03-28,22.65,22.92,23.36,22.16,22.25,104629.0,238005000.0,,,22.92,,,,0.0,0.0,0.0,鼎龙科技,化学原料和化学制品制造业,主板,22.92,22.92,22.92,22.92,22.92
603004,2024-03-29,22.7,22.59,23.2,22.2,22.92,86274.9,195291000.0,,,22.755000000000003,,,,-0.03,-0.01,-0.02,鼎龙科技,化学原料和化学制品制造业,主板,22.755000000000003,22.755000000000003,22.755000000000003,22.755000000000003,22.755000000000003
603004,2024-04-01,22.63,23.65,23.85,22.5,22.59,110873.0,257739000.0,,,23.05333333333333,,,,0.04,0.0,0.04,鼎龙科技,化学原料和化学制品制造业,主板,23.05333333333333,23.05333333333333,23.05333333333333,23.05333333333333,23.05333333333333
603004,2024-04-02,23.6,23.89,24.52,23.36,23.65,130556.0,313375000.0,,,23.2625,,,,0.11,0.02,0.09,鼎龙科技,化学原料和化学制品制造业,主板,23.2625,23.2625,23.2625,23.2625,23.2625
603004,2024-04-03,23.89,23.22,24.62,23.19,23.89,122399.0,293072000.0,23.25,,23.253999999999998,,,,0.1,0.04,0.06,鼎龙科技,化学原料和化学制品制造业,主板,23.3375,23.253999999999998,23.253999999999998,23.253999999999998,23.253999999999998
603004,2024-04-08,23.22,21.63,23.22,21.32,23.22,112820.0,250887000.0,23.0,,22.983333333333334,,,,-0.02,0.03,-0.05,鼎龙科技,化学原料和化学制品制造业,主板,23.097499999999997,22.983333333333334,22.983333333333334,22.983333333333334,22.983333333333334
603004,2024-04-09,21.45,21.8,21.84,20.61,21.63,74100.9,157966000.0,22.84,,22.814285714285717,,,,-0.11,0.0,-0.11,鼎龙科技,化学原料和化学制品制造业,主板,22.634999999999998,22.814285714285717,22.814285714285717,22.814285714285717,22.814285714285717
603004,2024-04-10,21.57,20.69,21.6,20.43,21.8,73665.1,154214000.0,22.25,,22.548750000000002,,,,-0.27,-0.05,-0.22,鼎龙科技,化学原料和化学制品制造业,主板,21.834999999999997,22.548750000000002,22.548750000000002,22.548750000000002,22.548750000000002
603004,2024-04-11,20.4,20.69,20.96,20.4,20.69,50359.4,104273000.0,21.61,,22.342222222222222,,,,-0.38,-0.12,-0.26,鼎龙科技,化学原料和化学制品制造业,主板,21.202499999999997,22.270000000000003,22.342222222222222,22.342222222222222,22.342222222222222
603004,2024-04-12,20.51,21.38,21.73,20.5,20.69,81988.0,173957000.0,21.24,22.25,22.246000000000002,,,,-0.41,-0.18,-0.23,鼎龙科技,化学原料和化学制品制造业,主板,21.139999999999997,22.118750000000002,22.246000000000002,22.246000000000002,22.246000000000002
603004,2024-04-15,21.28,20.34,22.25,19.55,21.38,90688.4,189656000.0,20.98,21.99,22.072727272727274,,,,-0.52,-0.25,-0.27,鼎龙科技,化学原料和化学制品制造业,主板,20.775,21.705000000000002,22.072727272727274,22.072727272727274,22.072727272727274
603004,2024-04-16,20.0,18.31,20.03,18.31,20.34,76571.2,143156000.0,20.28,21.56,21.75916666666667,,,,-0.76,-0.35,-0.41,鼎龙科技,化学原料和化学制品制造业,主板,20.18,21.0075,21.75916666666667,21.75916666666667,21.75916666666667
603004,2024-04-17,18.32,19.34,19.42,18.32,18.31,67110.0,128244000.0,20.01,21.13,21.573076923076922,,,,-0.85,-0.45,-0.4,鼎龙科技,化学原料和化学制品制造业,主板,19.8425,20.5225,21.46083333333333,21.573076923076922,21.573076923076922
603004,2024-04-18,19.39,19.77,20.5,19.11,19.34,72039.9,142326000.0,19.83,20.72,21.444285714285712,,,35.71,-0.88,-0.54,-0.34,鼎龙科技,化学原料和化学制品制造业,主板,19.44,20.290000000000003,21.22583333333333,21.444285714285712,21.444285714285712
603004,2024-04-19,19.52,19.15,19.7,18.92,19.77,58999.2,113533000.0,19.38,20.31,21.29133333333333,,,32.69,-0.95,-0.62,-0.33,鼎龙科技,化学原料和化学制品制造业,主板,19.1425,19.958750000000002,20.85083333333333,21.29133333333333,21.29133333333333
603004,2024-04-22,19.0,18.85,19.11,18.56,19.15,39175.6,73835000.0,19.08,20.03,21.138749999999998,,,31.31,-1.01,-0.7,-0.31,鼎龙科技,化学原料和化学制品制造业,主板,19.277499999999996,19.72875,20.43083333333333,21.138749999999998,21.138749999999998
