code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47
300128,2018-05-31,7.94,7.02,7.96,7.02,7.8,149355.0,108838000.0,,,7.02,,,,0.0,0.0,0.0,锦富技术,计算机、通信和其他电子设备制造业,创业板,7.02,7.02,7.02,7.02,7.02
300128,2018-06-15,6.48,6.32,6.54,6.32,7.02,59290.0,37614100.0,,,6.67,,,,-0.06,-0.01,-0.05,锦富技术,计算机、通信和其他电子设备制造业,创业板,6.67,6.67,6.67,6.67,6.67
300128,2018-06-19,5.69,5.69,5.69,5.69,6.32,24516.0,13949600.0,,,6.343333333333334,,,,-0.15,-0.04,-0.11,锦富技术,计算机、通信和其他电子设备制造业,创业板,6.343333333333334,6.343333333333334,6.343333333333334,6.343333333333334,6.343333333333334
300128,2018-06-20,3.93,3.93,3.93,3.93,5.69,44075.0,17321500.0,,,5.74,,,,-0.37,-0.11,-0.26,锦富技术,计算机、通信和其他电子设备制造业,创业板,5.74,5.74,5.74,5.74,5.74
300128,2018-06-21,3.54,3.54,3.54,3.54,3.93,35818.0,12679600.0,5.3,,5.3,,,,-0.55,-0.19,-0.36,锦富技术,计算机、通信和其他电子设备制造业,创业板,4.87,5.3,5.3,5.3,5.3
300128,2018-06-22,3.19,3.37,3.76,3.19,3.54,987723.0,327221000.0,4.57,,4.9783333333333335,,,,-0.71,-0.3,-0.41,锦富技术,计算机、通信和其他电子设备制造业,创业板,4.1325,4.9783333333333335,4.9783333333333335,4.9783333333333335,4.9783333333333335
300128,2018-06-25,3.22,3.39,3.51,3.17,3.37,634388.0,212419000.0,3.98,,4.751428571428571,,,,-0.83,-0.4,-0.43,锦富技术,计算机、通信和其他电子设备制造业,创业板,3.5575,4.751428571428571,4.751428571428571,4.751428571428571,4.751428571428571
300128,2018-06-26,3.3,3.73,3.73,3.27,3.39,352793.0,124084000.0,3.59,,4.623749999999999,,,,-0.88,-0.5,-0.38,锦富技术,计算机、通信和其他电子设备制造业,创业板,3.5075000000000003,4.623749999999999,4.623749999999999,4.623749999999999,4.623749999999999
300128,2018-06-27,3.8,3.77,4.06,3.75,3.73,684857.0,264791000.0,3.56,,4.528888888888889,,,,-0.91,-0.58,-0.33,锦富技术,计算机、通信和其他电子设备制造业,创业板,3.5650000000000004,4.217499999999999,4.528888888888889,4.528888888888889,4.528888888888889
300128,2018-06-28,3.76,3.67,3.95,3.65,3.77,434871.0,165072000.0,3.59,4.44,4.443,,,,-0.93,-0.65,-0.28,锦富技术,计算机、通信和其他电子设备制造业,创业板,3.6399999999999997,3.8862499999999995,4.443,4.443,4.443
300128,2018-06-29,3.72,3.9,3.95,3.68,3.67,524505.0,201867000.0,3.69,4.13,4.393636363636364,,,,-0.91,-0.7,-0.21,锦富技术,计算机、通信和其他电子设备制造业,创业板,3.767499999999999,3.662499999999999,4.393636363636364,4.393636363636364,4.393636363636364
