code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47
1309,2022-09-23,54.47,50.85,54.75,50.46,54.3,23129.0,119463000.0,,,50.85,,,,0.0,0.0,0.0,德明利,计算机、通信和其他电子设备制造业,主板,50.85,50.85,50.85,50.85,50.85
1309,2022-09-26,50.03,49.91,51.23,49.61,50.85,9765.68,49034400.0,,,50.379999999999995,,,,-0.07,-0.01,-0.06,德明利,计算机、通信和其他电子设备制造业,主板,50.379999999999995,50.379999999999995,50.379999999999995,50.379999999999995,50.379999999999995
1309,2022-09-27,49.85,54.9,54.9,49.85,49.91,16527.0,88366700.0,,,51.88666666666666,,,,0.26,0.04,0.22,德明利,计算机、通信和其他电子设备制造业,主板,51.88666666666666,51.88666666666666,51.88666666666666,51.88666666666666,51.88666666666666
1309,2022-09-28,54.88,52.94,55.9,52.42,54.9,21626.0,116200000.0,,,52.15,,,,0.38,0.11,0.27,德明利,计算机、通信和其他电子设备制造业,主板,52.15,52.15,52.15,52.15,52.15
1309,2022-09-29,53.69,52.75,53.76,52.0,52.94,11833.0,62646000.0,52.27,,52.27,,,,0.43,0.17,0.26,德明利,计算机、通信和其他电子设备制造业,主板,52.62500000000001,52.27,52.27,52.27,52.27
1309,2022-09-30,52.43,50.49,52.73,50.3,52.75,11302.0,57666500.0,52.2,,51.973333333333336,,,,0.31,0.2,0.11,德明利,计算机、通信和其他电子设备制造业,主板,52.77,51.973333333333336,51.973333333333336,51.973333333333336,51.973333333333336
1309,2022-10-10,50.55,46.96,50.97,46.5,50.49,14809.0,71324000.0,51.61,,51.25714285714286,,,,-0.08,0.14,-0.22,德明利,计算机、通信和其他电子设备制造业,主板,50.785000000000004,51.25714285714286,51.25714285714286,51.25714285714286,51.25714285714286
1309,2022-10-11,47.33,48.48,50.2,46.43,46.96,14478.3,69710500.0,50.32,,50.910000000000004,,,,-0.27,0.06,-0.33,德明利,计算机、通信和其他电子设备制造业,主板,49.67,50.910000000000004,50.910000000000004,50.910000000000004,50.910000000000004
1309,2022-10-12,47.89,51.34,52.13,47.5,48.48,20767.7,104454000.0,50.0,,50.95777777777778,,,,-0.18,0.01,-0.19,德明利,计算机、通信和其他电子设备制造业,主板,49.3175,50.97125,50.95777777777778,50.95777777777778,50.95777777777778
1309,2022-10-13,50.09,51.5,52.6,49.91,51.34,16103.5,83341500.0,49.75,51.01,51.012,,,,-0.1,-0.01,-0.09,德明利,计算机、通信和其他电子设备制造业,主板,49.57,51.17,51.012,51.012,51.012
1309,2022-10-14,51.94,52.22,52.8,51.05,51.5,11479.0,59589900.0,50.1,51.15,51.121818181818185,,,,0.03,0.0,0.03,德明利,计算机、通信和其他电子设备制造业,主板,50.885,50.83500000000001,51.121818181818185,51.121818181818185,51.121818181818185
1309,2022-10-17,51.87,53.29,54.0,51.86,52.22,11275.0,59779300.0,51.37,51.49,51.3025,,,,0.2,0.04,0.16,德明利,计算机、通信和其他电子设备制造业,主板,52.0875,50.87875000000001,51.3025,51.3025,51.3025
1309,2022-10-18,53.1,52.19,53.29,51.55,53.29,10402.0,54312500.0,52.11,51.22,51.37076923076923,,,,0.26,0.08,0.18,德明利,计算机、通信和其他电子设备制造业,主板,52.29999999999999,50.80875000000001,51.41416666666666,51.37076923076923,51.37076923076923
1309,2022-10-19,52.31,51.52,53.2,51.52,52.19,8902.0,46459300.0,52.14,51.07,51.381428571428565,,,51.19,0.24,0.11,0.13,德明利,计算机、通信和其他电子设备制造业,主板,52.30499999999999,50.93750000000001,51.548333333333325,51.381428571428565,51.381428571428565
1309,2022-10-20,51.3,56.67,56.67,51.2,51.52,36062.5,196839000.0,53.18,51.47,51.733999999999995,,,65.6,0.64,0.22,0.42,德明利,计算机、通信和其他电子设备制造业,主板,53.4175,52.15125000000001,51.695833333333326,51.733999999999995,51.733999999999995
1309,2022-10-21,56.56,54.08,56.56,52.33,56.67,41307.2,223620000.0,53.55,51.82,51.880624999999995,,,56.56,0.73,0.32,0.41,德明利,计算机、通信和其他电子设备制造业,主板,53.615,52.85125000000001,51.79083333333333,51.880624999999995,51.880624999999995
1309,2022-10-24,54.13,54.0,55.36,53.54,54.08,25988.5,142045000.0,53.69,52.53,52.005294117647054,,,56.3,0.8,0.42,0.38,德明利,计算机、通信和其他电子设备制造业,主板,54.06750000000001,53.18375,51.895,52.07749999999999,52.005294117647054
1309,2022-10-25,53.77,52.65,54.75,51.6,54.0,22226.7,117071000.0,53.78,52.95,52.04111111111111,,,51.99,0.73,0.48,0.25,德明利,计算机、通信和其他电子设备制造业,主板,54.35,53.3275,52.074999999999996,52.248749999999994,52.04111111111111
1309,2022-10-26,52.5,56.0,57.92,51.98,52.65,38137.0,209187000.0,54.68,53.41,52.24947368421052,,,60.15,0.93,0.57,0.36,德明利,计算机、通信和其他电子设备制造业,主板,54.18249999999999,53.8,52.828333333333326,52.317499999999995,52.24947368421052
1309,2022-10-27,55.0,53.75,56.02,53.69,56.0,30607.0,167295000.0,54.1,53.64,52.324499999999986,,,53.56,0.9,0.64,0.26,德明利,计算机、通信和其他电子设备制造业,主板,54.099999999999994,53.857499999999995,53.26749999999999,52.36812499999999,52.324499999999986
1309,2022-10-28,53.5,52.5,55.55,51.89,53.75,30189.6,163640000.0,53.78,53.66,52.407,,,50.27,0.76,0.66,0.1,德明利,计算机、通信和其他电子设备制造业,主板,53.724999999999994,53.896249999999995,53.364166666666655,52.35249999999999,52.33285714285713
1309,2022-10-31,51.2,54.14,54.96,51.11,52.5,29050.0,155323000.0,53.81,53.75,52.6185,,,54.24,0.79,0.69,0.1,德明利,计算机、通信和其他电子设备制造业,主板,54.09749999999999,54.223749999999995,53.584166666666654,52.58062499999999,52.41499999999999
1309,2022-11-01,53.93,54.48,54.98,53.14,54.14,24263.1,131001000.0,54.17,53.98,52.59749999999999,,,55.05,0.82,0.71,0.11,德明利,计算机、通信和其他电子设备制造业,主板,53.71749999999999,53.949999999999996,53.77249999999999,53.05062499999999,52.50478260869565
1309,2022-11-02,54.36,54.81,56.4,54.31,54.48,26781.0,148415000.0,53.94,54.31,52.69099999999999,,,55.86,0.86,0.74,0.12,德明利,计算机、通信和其他电子设备制造业,主板,53.98249999999999,54.04125,53.899166666666666,53.44624999999999,52.60083333333333
1309,2022-11-03,54.67,56.28,56.68,54.03,54.81,23490.0,131141000.0,54.44,54.27,52.867499999999986,,,59.36,1.0,0.79,0.21,德明利,计算机、通信和其他电子设备制造业,主板,54.92749999999998,54.32625,54.23999999999999,53.75499999999999,52.74799999999999
