epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.12877,2.05955,2.62841,2.36124,0.00313,1,0.05861,0.01809,2.11516,2.997,2.55357,0.000333333,0.000333333,0.000333333
2,10.6221,1.80524,2.56321,2.0158,0.00313,1,0.78081,0.50539,1.15251,2.73553,1.72699,0.000987625,0.000987625,0.000987625
3,16.8602,1.83635,2.50577,2.02328,0.00313,1,0.78081,0.50539,1.15251,2.73553,1.72699,0.00162542,0.00162542,0.00162542
4,25.4186,1.79255,2.41772,2.01241,0.00317,1,0.41918,0.12547,2.04245,3.12583,3.48485,0.00192575,0.00192575,0.00192575
5,36.5426,1.96364,2.41142,2.17244,0.00317,1,0.41918,0.12547,2.04245,3.12583,3.48485,0.001901,0.001901,0.001901
6,47.1411,1.83447,2.32093,1.97262,0.00313,1,0.55296,0.29698,1.27143,2.61077,2.12075,0.00187625,0.00187625,0.00187625
7,57.8751,1.68186,2.19499,1.91934,0.00313,1,0.55296,0.29698,1.27143,2.61077,2.12075,0.0018515,0.0018515,0.0018515
8,68.7291,1.74051,2.15121,1.95275,0.33838,0.43333,0.36469,0.13892,1.61429,2.57939,2.56099,0.00182675,0.00182675,0.00182675
9,79.2463,1.6985,2.2477,1.96779,0.33838,0.43333,0.36469,0.13892,1.61429,2.57939,2.56099,0.001802,0.001802,0.001802
10,90.2029,1.66939,1.98268,1.87267,0.0708,0.43333,0.09323,0.02327,3.24449,3.35139,9.26253,0.00177725,0.00177725,0.00177725
11,97.6019,1.73956,2.01039,1.85962,0.0708,0.43333,0.09323,0.02327,3.24449,3.35139,9.26253,0.0017525,0.0017525,0.0017525
12,102.675,1.70885,2.00084,1.84509,0.27496,0.13333,0.06372,0.0171,4.41639,4.58408,22.0327,0.00172775,0.00172775,0.00172775
13,108.51,1.71618,1.96111,1.89481,0.27496,0.13333,0.06372,0.0171,4.41639,4.58408,22.0327,0.001703,0.001703,0.001703
14,115.3,1.49891,1.9221,1.71817,0.23591,0.28837,0.09294,0.01335,3.6153,3.21914,15.9768,0.00167825,0.00167825,0.00167825
15,121.339,1.4854,1.88865,1.71739,0.23591,0.28837,0.09294,0.01335,3.6153,3.21914,15.9768,0.0016535,0.0016535,0.0016535
16,129.259,1.3404,1.8439,1.62268,0.19535,0.3,0.10389,0.01863,3.64596,3.09286,13.7671,0.00162875,0.00162875,0.00162875
17,136.323,1.32914,1.77282,1.59213,0.19535,0.3,0.10389,0.01863,3.64596,3.09286,13.7671,0.001604,0.001604,0.001604
